nprod,R,l_sales
1,1,11.06389
2,1,12.16873
3,1,12.812909
4,1,13.092845
5,1,13.488101
6,1,13.559957
7,1,13.710292
8,1,13.721361
9,1,14.019701
10,1,14.345968
2,2,9.2563066
3,2,10.442241
4,2,11.057092
5,2,11.710173
6,2,11.892896
7,2,12.214352
8,2,12.369902
9,2,12.550041
3,3,8.3977776
4,3,9.4701347
5,3,10.267093
6,3,10.658924
7,3,10.968349
8,3,11.334935
9,3,11.604999
4,4,7.6734896
5,4,8.8653851
6,4,9.5200729
7,4,10.020125
8,4,10.349862
9,4,10.852434
5,5,7.1488514
6,5,8.2355003
7,5,9.0218029
8,5,9.478899
9,5,10.061327
6,6,6.8120451
7,6,7.9769564
8,6,8.6320152
9,6,9.1485767
7,7,6.4235229
8,7,7.5009217
9,7,8.3022003
8,8,6.0430422
9,8,7.2372255
9,9,6.0010729
10,10,5.1398497
